"","Value","Std. Error","t value"
"(Intercept)",-1.66393594411531,0.0165798707684458,-100.358800581369
"covid",-0.66883424336273,0.00967743993917913,-69.1127248080304
"arr_flights_n",1.12088966403656,0.0883664535753729,12.6845609242481
"ATL",-1.06339842099901,0.10774458054752,-9.86962328495036
"ORD",-0.57064965922305,0.100842135818354,-5.65884146138034
"CLT",-0.623773539936275,0.0961807101328892,-6.48543288019428
"DEN",-0.522002440052246,0.0980221932981423,-5.32534952023093
"DFW",-0.337353281919815,0.101116828643454,-3.33627237370498
"ADK",1.62257212792886,0.112820756774439,14.3818582175694
"LAX",-0.492595229381451,0.0941185001042097,-5.23377687528
"ITO",-1.21041895458604,0.0886960682139636,-13.646816357926
"MSP",-0.583842804893664,0.091660439832948,-6.36962691819636
"DTW",-0.552745891458392,0.0918066224397681,-6.02076273768849
"PHX",-0.478354004084731,0.0927186958408767,-5.1591968561085
"sep",-0.432872947648405,0.0220898671172653,-19.5959959990014
"mar",-0.291225717888461,0.0169906268704482,-17.1403751085246
"CDB",1.40999985682175,0.13350431218187,10.5614555348664
"oct",-0.338119751650401,0.0224526498550893,-15.0592359401962
"jul",0.169073569850636,0.0166930171541514,10.12840089298
"SEA",-0.362995259647172,0.0916599935011806,-3.96023658503202
"LAS",-0.341790368192986,0.0919589701778231,-3.71677028931553
"feb",0.408911019409871,0.0249851137839205,16.3661859996424
"SLC",-0.436614121642975,0.0905654843010599,-4.82097705337248
"extra_tue",0.224367802539946,0.0160637162756659,13.9673658753441
"EKO",-0.906265526597643,0.0960385813872181,-9.43647348291902
"LIH",-0.809148130996207,0.088688342526593,-9.12350042795744
"BWI",-0.376657529515782,0.0898912957003308,-4.19014462503065
"HIB",-0.817323469788744,0.0914389945931909,-8.93845643672035
"BTM",-0.780769004448562,0.0900424314547958,-8.67112306757879
"HNL",-0.540111926312666,0.0888786686026749,-6.07695788881801
"KOA",-0.690167014515537,0.0886882806414988,-7.78194153188483
"apr",-0.287518364333105,0.0178141980728584,-16.139843239487
"may",-0.2242877717267,0.0168882490624902,-13.2807001422579
"extra_sat",0.243451591493411,0.0164844552200714,14.7685554811047
"BJI",-0.643967799662338,0.0887120617422985,-7.2590782697962
"extra_thu",0.126987029771594,0.0121432558699825,10.4574120096983
"OGG",-0.518397691357046,0.0887076274696663,-5.8438908371697
"OTZ",-0.624402049366406,0.0928979430237487,-6.72137648092791
"BQN",0.763964201967031,0.110248814474745,6.929455029578
"LWS",-0.615581038431915,0.0900418675501501,-6.8366089595938
"PIH",-0.589413284134244,0.0887105431389775,-6.64423036178288
"ELM",-0.562727463668484,0.0944289889735715,-5.95926600279474
"ABR",-0.566301305181654,0.0928951205072198,-6.09613618120708
"jan",-0.212532625276383,0.0223456018054772,-9.51116139661491
