"","Value","Std. Error","t value"
"(Intercept)",-1.75082912342991,0.0171889297440012,-101.857948662623
"covid",-0.641164037923483,0.00961249360644443,-66.7011146299886
"arr_flights_n",2.21373945598173,0.122228549273565,18.1114761578906
"ATL",-1.84354820511546,0.122148504332253,-15.0926793184538
"ORD",-1.20377210254653,0.110133369856016,-10.930130478349
"CLT",-1.10736377185485,0.101698393631547,-10.8887046521779
"DEN",-1.05825321389581,0.105067801721015,-10.0720981743367
"DFW",-0.961873998730922,0.110621338352651,-8.69519401098328
"ADK",1.61908382666927,0.11081727920949,14.6103914319042
"LAX",-0.904656776322229,0.0978571514015522,-9.24466698003515
"ITO",-1.20603720068387,0.0871175049566527,-13.8437986864289
"MSP",-0.893668280575176,0.0931629657283766,-9.59252717631092
"DTW",-0.864773538144516,0.0934463758681999,-9.25422232922359
"PHX",-0.828813583791764,0.0952016194413934,-8.70587694468775
"sep",-0.307383546876034,0.0237160480406259,-12.9609936001766
"mar",-0.183030915068978,0.0190382658955571,-9.61384382764036
"CDB",1.43547243527631,0.131127160832668,10.9471784957513
"oct",-0.229450772279288,0.0236962341941517,-9.68300576367181
"jul",0.261387307035045,0.0181125657781878,14.4312688901217
"SEA",-0.681636565182989,0.0931620994598222,-7.31667243584347
"LAS",-0.665490859169337,0.0937410943774151,-7.09924354509853
"feb",0.480978170431765,0.0251203639803682,19.146942727727
"SLC",-0.686974744978802,0.0910184522690559,-7.54764256975129
"IAH",-0.616949517949322,0.0938414129786239,-6.57438436151699
"jun",0.27766007953792,0.019173926393148,14.4811278527252
"extra_tue",0.170504361732896,0.0163926809555539,10.4012493255491
"EKO",-0.897564315033082,0.0943320063276324,-9.51494990910801
"SFO",-0.503678831863433,0.0927288674085383,-5.43173712717055
"LIH",-0.822864307266266,0.087118195742629,-9.44537820431029
"BWI",-0.584577411058986,0.0896741068450676,-6.5189097681115
"DCA",-0.559820907600092,0.0902410481431314,-6.20361708024667
"HIB",-0.836578584918379,0.0898137262296831,-9.31459610949638
"BTM",-0.798542067317602,0.0884414806796487,-9.02904452956943
"LGA",-0.470299745794405,0.091598798636076,-5.13434403941165
"HNL",-0.630378878209058,0.0875829086945643,-7.19751019468232
"MCO",-0.419988258599004,0.0922766857247122,-4.55140163845882
"KOA",-0.70414332576528,0.0871235546471621,-8.08212346955951
"apr",-0.212138128534544,0.0183752371697679,-11.5447831543403
"may",-0.133345070921624,0.0182125382039595,-7.32160830238558
"extra_sat",0.183060123039971,0.016674218431244,10.9786328993361
"MDW",-0.523794980222858,0.0888416090771631,-5.89582950673392
"BOS",-0.367662672578444,0.091107958008174,-4.03546167224446
"PHL",-0.391322976810514,0.0900891224171774,-4.34373169935441
"BJI",-0.641080358477185,0.0871348541064585,-7.35733553526048
"SAN",-0.4220494927759,0.0887942898026083,-4.75311524777242
"extra_thu",0.153313667323955,0.0120622541773417,12.7102003547518
"JFK",-0.352372880563885,0.0899726798714349,-3.91644309214089
"OGG",-0.560656901304175,0.0871880874170323,-6.4304300955987
"OTZ",-0.629978273856936,0.0912472136787902,-6.90408231066205
"BQN",0.771846833441716,0.108289209802853,7.12764304815693
"LWS",-0.597186903884068,0.0884406898724696,-6.75239988228501
"SJC",-0.457599668483089,0.0876574855531604,-5.22031479223272
"GST",-0.89237763010395,0.16058873841229,-5.55691288770754
"PIH",-0.575037909908036,0.0871329456253431,-6.59954631145608
"MIA",-0.345499390996692,0.0889869312396184,-3.88258574808422
"DAL",-0.384426260014273,0.0882757875528424,-4.35483240275997
"ELM",-0.558818510595289,0.0927495255072164,-6.02502824180819
"ABR",-0.562757191799088,0.091243941927257,-6.16761156864243
"BNA",-0.35334776399764,0.088637136353329,-3.98645284059167
"jan",-0.101183817472975,0.0236008226531191,-4.28730044541913
