t,month,year,covid,control,extra_mon,extra_tue,extra_wed,extra_thu,extra_fri,extra_sat,extra_sun,top30,fulldata,mon_ct,tue_ct,wed_ct,thu_ct,fri_ct,sat_ct,sun_ct,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,day_ct
13,6,2004,0,0,0,1,1,0,0,0,0,0,1,4,5,5,4,4,4,4,226088.0,57123.0,16608.06,4962.58,15879.26,137.55,19535.69,3455.0,450.0,3052683.0,829239.0,365242.0,681710.0,5018.0,1171474.0,30540
13,6,2004,0,0,0,1,1,0,0,0,0,1,1,4,5,5,4,4,4,4,362704.0,91603.0,19092.01,4376.03,41603.56,284.64,26246.87,5341.0,1275.0,5205109.0,1116826.0,337219.0,2068886.0,9858.0,1672320.0,11670
14,7,2004,0,0,0,0,0,1,1,1,0,0,1,4,4,4,5,5,5,4,235211.0,52148.0,17043.1,3201.39,13753.53,149.62,18000.170000000002,3659.0,461.0,2713767.0,833193.0,210377.0,597327.0,4704.0,1068166.0,31589
14,7,2004,0,0,0,0,0,1,1,1,0,1,1,4,4,4,5,5,5,4,378955.0,83851.0,19590.01,3408.9,35765.14,257.62,24829.33,6473.0,1120.0,4856910.0,1138534.0,256497.0,1840252.0,9329.0,1612298.0,12028
15,8,2004,0,0,1,1,0,0,0,0,1,0,1,5,5,4,4,4,4,5,239085.0,45769.0,14760.17,2939.56,11923.47,122.84,16023.18,3356.0,392.0,2325825.0,705275.0,196838.0,479409.0,4835.0,939468.0,31558
15,8,2004,0,0,1,1,0,0,0,0,1,1,1,5,5,4,4,4,4,5,384022.0,78115.0,17502.53,3634.19,33454.38,248.48,23275.55,6807.0,830.0,4378972.0,1013351.0,275110.0,1575118.0,10820.0,1504573.0,11935
16,9,2004,0,0,0,0,1,1,0,0,0,0,1,4,4,5,5,4,4,4,226226.0,27979.0,10312.91,1618.73,7423.67,134.51,8489.2,5825.0,335.0,1273121.0,465122.0,103552.0,261939.0,7495.0,435013.0,30690
16,9,2004,0,0,0,0,1,1,0,0,0,1,1,4,4,5,5,4,4,4,358899.0,47168.0,11409.57,1623.02,21913.25,249.35999999999999,11972.72,12144.0,712.0,2433686.0,620217.0,123729.0,1004079.0,16361.0,669300.0,11640
17,10,2004,0,0,0,0,0,0,1,1,1,0,1,4,4,4,4,5,5,5,235147.0,42550.0,13519.93,2834.91,11900.23,135.43,14159.53,2717.0,430.0,1831266.0,596943.0,170494.0,381218.0,4788.0,677823.0,31155
17,10,2004,0,0,0,0,0,0,1,1,1,1,1,4,4,4,4,5,5,5,374890.0,65791.0,14012.54,2311.46,31356.88,185.57,17924.579999999998,3978.0,434.0,2952438.0,711692.0,148579.0,1164031.0,6840.0,921296.0,12059
18,11,2004,0,0,1,1,0,0,0,0,0,0,1,5,5,4,4,4,4,4,224832.0,43301.0,14444.43,3173.59,11095.66,118.97,14468.32,2888.0,442.0,2056431.0,665965.0,207723.0,372442.0,5890.0,804411.0,29910
18,11,2004,0,0,1,1,0,0,0,0,0,1,1,5,5,4,4,4,4,4,359778.0,70395.0,14940.49,2721.7,33038.27,272.33,19422.25,4449.0,597.0,3675470.0,808928.0,208389.0,1489919.0,12883.0,1155351.0,11640
19,12,2004,0,0,0,0,1,1,1,0,0,0,1,4,4,5,5,5,4,4,234119.0,57708.0,20355.83,3797.0499999999997,13196.77,292.76,20066.0,8805.0,653.0,3029239.0,1030020.0,273870.0,518427.0,9745.0,1197177.0,31155
19,12,2004,0,0,0,0,1,1,1,0,0,1,1,4,4,5,5,5,4,4,372612.0,96333.0,23589.0,4033.79,39001.9,516.77,29191.72,8299.0,728.0,5218445.0,1271500.0,322082.0,1773048.0,16797.0,1835018.0,12059
20,1,2005,0,0,1,0,0,0,0,1,1,0,1,5,4,4,4,4,5,5,231024.0,53538.0,18221.52,4010.2200000000003,14231.99,130.03,16944.3,9464.0,834.0,2684613.0,903483.0,269137.0,549364.0,4447.0,958182.0,31558
20,1,2005,0,0,1,0,0,0,0,1,1,1,1,5,4,4,4,4,5,5,363899.0,89778.0,20539.04,4192.53,39083.68,267.66,25695.09,15620.0,974.0,4936431.0,1164301.0,332855.0,1824355.0,8705.0,1606215.0,12276
21,2,2005,0,0,0,0,0,0,0,0,0,0,1,4,4,4,4,4,4,4,211728.0,40769.0,13929.5,2439.58,11481.46,96.42999999999999,12822.0,3669.0,413.0,1848911.0,647120.0,143311.0,382758.0,3145.0,672577.0,27972
21,2,2005,0,0,0,0,0,0,0,0,0,1,1,4,4,4,4,4,4,4,333604.0,71128.0,15545.1,2334.02,34003.43,118.0,19127.52,5836.0,455.0,3622030.0,845532.0,172537.0,1493748.0,4144.0,1106069.0,10836
22,3,2005,0,0,0,1,1,1,0,0,0,0,1,4,5,5,5,4,4,4,239063.0,47924.0,16824.43,2656.27,12872.52,217.34,15353.61,3996.0,265.0,2262532.0,783550.0,165335.0,454795.0,12543.0,846309.0,31124
