"","Value","Std. Error","t value"
"(Intercept)",-1.64883395652678,0.0166148622024847,-99.2384972220955
"covid",-0.681175198832055,0.00967963828190359,-70.3719683519098
"arr_flights_n",0.504995312535903,0.0596937407755268,8.45976991850612
"ATL",-0.6311497415201,0.0981351720142184,-6.43143256964645
"CLT",-0.353675012034748,0.0925910621616958,-3.81975326535417
"ADK",1.61590482844819,0.113565340596561,14.2288555642048
"ITO",-1.21267562999656,0.089283991497197,-13.5822291282154
"MSP",-0.41660799585979,0.0905351419290216,-4.60161642190174
"DTW",-0.38037379054988,0.0906002436127337,-4.19837492022393
"sep",-0.434934215985718,0.0222355689378332,-19.5602917650418
"mar",-0.285815570084279,0.0170983641260477,-16.7159599583487
"CDB",1.4067262501118,0.134389803315352,10.4675073213021
"oct",-0.337696772629228,0.0226016097925726,-14.9412708089582
"jul",0.172200253846287,0.0168017759044298,10.2489317097061
"feb",0.405898509238418,0.0251498807972481,16.1391822295568
"extra_tue",0.224593599382446,0.0161699237288318,13.8895892861872
"EKO",-0.916029836138073,0.0966706633606266,-9.4757789415477
"LIH",-0.804746279911891,0.0892761334233927,-9.01412560169218
"HIB",-0.826055245193815,0.0920396600645854,-8.97499235236377
"BTM",-0.789411441171779,0.0906344710379414,-8.70983668941275
"HNL",-0.493616644096104,0.0893362347063784,-5.52537999523346
"KOA",-0.684105808983002,0.0892745887965382,-7.66293990490528
"apr",-0.2878400161176,0.0179325173574814,-16.0512888614333
"may",-0.222773600840737,0.01700031569727,-13.1040861127368
"extra_sat",0.243339105405437,0.0165938574310462,14.6644085871295
"BJI",-0.654041200755365,0.0892950624152637,-7.32449458082876
"extra_thu",0.126489481425056,0.0122238340465187,10.3477747606595
"OGG",-0.499288480039273,0.0892759224224741,-5.59264431541268
"OTZ",-0.63355860606148,0.0935080825918356,-6.77544217035199
"BQN",0.752995737254927,0.110974983206845,6.78527462222205
"LWS",-0.623519619688453,0.0906341254543362,-6.87952376174907
"PIH",-0.598068398526235,0.0892940834739913,-6.69773825161031
"ELM",-0.568148194515732,0.095050719306399,-5.97731609672819
"ABR",-0.575553189189876,0.0935057562500105,-6.15527013813988
"jan",-0.212953610005944,0.0224934681689789,-9.46735329590626
