"","Value","Std. Error","t value"
"(Intercept)",-1.65602759319896,0.0165994159609414,-99.7642083971871
"covid",-0.668434206898719,0.00974269472598221,-68.6087602761597
"arr_flights_n",1.23541110697333,0.0963107404587499,12.8273451235946
"top30",-0.344127794374858,0.0302570054553246,-11.3734915004386
"ATL",-0.808880615026402,0.100214505445941,-8.07149235958403
"ADK",1.61411588769576,0.113346131939972,14.2405908350767
"ITO",-1.21877447314081,0.0891134099000881,-13.6766674567528
"sep",-0.432924193541646,0.0221942440860402,-19.5061472633775
"mar",-0.290668335651461,0.0170720424073853,-17.0259848655084
"CDB",1.4017098174869,0.134130989435665,10.4503055064633
"oct",-0.337632506830149,0.0225583154563857,-14.9670974981677
"jul",0.169016661729986,0.0167725201668897,10.0769985695792
"feb",0.410268577439413,0.0251027373239077,16.3435792736705
"extra_tue",0.223699371241598,0.0161395164108818,13.8603515462689
"EKO",-0.913610145047697,0.09648406647452,-9.46902611416122
"LIH",-0.819615161617984,0.0891152834587297,-9.19724574514266
"HIB",-0.824800732183185,0.0918621119708514,-8.97868244576068
"BTM",-0.788612961754431,0.0904594734450435,-8.717859298988
"HNL",-0.213729762187207,0.0921922512033346,-2.31830505706836
"KOA",-0.700634513055284,0.089119042434077,-7.86178232978161
"apr",-0.289804600745904,0.0178979214266482,-16.1920814064148
"may",-0.223637866115966,0.0169677993450662,-13.1801338269005
"extra_sat",0.243046058869047,0.0165619960390962,14.6749255521685
"BJI",-0.651493627774381,0.0891226651977241,-7.31007792831377
"extra_thu",0.12604343903749,0.01220037207892,10.3311143481656
"OGG",-0.531883614929309,0.0891606998760379,-5.96544907867254
"OTZ",-0.632361317968849,0.0933277806536589,-6.77570294225203
"BQN",0.756361021842195,0.110761058013511,6.82876306354831
"LWS",-0.623477701225265,0.0904590930820678,-6.89237178908728
"PIH",-0.59713520024702,0.0891216036938328,-6.70022952345438
"ELM",-0.570050360974266,0.0948671644113054,-6.00893222129798
"ABR",-0.573917339283122,0.0933253304288703,-6.14964165297593
"jan",-0.210826449340531,0.0224508354208639,-9.39058370828404
