"","Value","Std. Error","t value"
"(Intercept)",-1.64553934503216,0.0166794850691204,-98.656483591249
"covid",-0.684413198164974,0.00971442641943328,-70.4532793409022
"arr_flights_n",0.358920509775495,0.0563080272255177,6.37423343456862
"ATL",-0.525952337142922,0.0974803303618801,-5.39547142680383
"ADK",1.61432637169158,0.114043932096489,14.1553026278132
"ITO",-1.21214200500015,0.0896604193281159,-13.5192542493502
"sep",-0.435686824234633,0.0223292311176285,-19.5119492444443
"mar",-0.284703942211776,0.0171699726232889,-16.5815023971332
"CDB",1.40656695558169,0.134956443615678,10.4223771603469
"oct",-0.33774925089011,0.0226969004709094,-14.8808535034554
"jul",0.172269389134771,0.0168724153739162,10.2101202060903
"feb",0.405384922205721,0.0252558244571931,16.0511458611387
"extra_tue",0.225073925759531,0.0162380607327085,13.8608870519965
"EKO",-0.917387831807749,0.0970779434861856,-9.45001303965916
"LIH",-0.803179301182064,0.0896523324723166,-8.95882214141027
"HIB",-0.827076313978787,0.0924273500600671,-8.94839366747271
"BTM",-0.791091167211482,0.0910162855478956,-8.69175403554768
"HNL",-0.481907970190508,0.0896988153452628,-5.37251209322642
"KOA",-0.681939523294893,0.0896505724271047,-7.60663880701243
"apr",-0.288920220273558,0.0180081369893394,-16.0438706371789
"may",-0.222221304749314,0.0170719915859593,-13.0167182680712
"extra_sat",0.243309980549406,0.0166638229469578,14.6010901174286
"BJI",-0.655861730057203,0.0896712147292033,-7.31407210260092
"extra_thu",0.125964654968381,0.0122753729273072,10.2615745944603
"OGG",-0.494360833170654,0.0896498343328471,-5.51435300298736
"OTZ",-0.635252403943568,0.0939019473051968,-6.76506102561316
"BQN",0.75110794543312,0.111442551989104,6.7398667028601
"LWS",-0.624844459676228,0.0910159549742887,-6.86521895916757
"PIH",-0.599401381259925,0.0896702723670054,-6.6845049695698
"ELM",-0.568416104057666,0.0954511949895299,-5.9550443985538
"ABR",-0.577030261450842,0.0938996502679522,-6.14518009177061
"jan",-0.212994484023895,0.0225882667658271,-9.42943016531603
